Job Title,Company Name,Location,Years of Experience,Min_Experience,Experience_Level,Salary,Salary_Min_LPA,Salary_Max_LPA,Skills,Industry,Function,Employment Type,Skill_Python,Skill_SQL,Skill_Excel,Skill_Power_BI,Skill_Tableau,Skill_Machine_Learning,Skill_Statistics
Data Analyst,Analytics Vidhya,"Mumbai (Maharashtra), P...",card_travel\n\t\t\t\n\t\t\t \n\t\t\t 4 to ...,4.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sas \nconsulting \nprogram man...","Educational/Training, Research/Surveyor/MR",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Analytics Vidhya,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 4 to ...,4.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , visualization \nsas \nspotfire...","Educational/Training, Research/Surveyor/MR",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Analytics Vidhya,Gurgaon (Haryana),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \npredictive ana...","Educational/Training, Research/Surveyor/MR",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,ADROIT LEARNING AND MANPOWER PVT LTD,Ahmedabad (Gujarat),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 7 to ...,7.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ndashboards \nd...",Consulting Services,Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analyst domo \nsnowflake ...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Analytics Vidhya,Gurgaon (Haryana),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analytics \nsas \nspss \n...","Educational/Training, Research/Surveyor/MR",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,ANR SOFTWARE PVT LTD,Noida/ Greater Noida (U...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 0 to ...,0.0,Fresher / 0 Years,₹\n As per Industry Standards,,,", Key Skills, , data analytics \ninformation m...","Software Services, IT-Software",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,Myntra,Bengaluru/ Bangalore (K...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , sql \nexcel \npowerbi \nr \npy...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,BE/ B.Tech (Engineering),0,1,1,1,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Pune (Maharashtra),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \ncommunication ...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,Analytics Vidhya,Bengaluru/ Bangalore (K...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 3 to ...,3.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , visualization \nregression ana...","Educational/Training, Research/Surveyor/MR",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql expertise \naws native ser...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql expertise \naws services \...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql expertise \naws native ser...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql \ndata analysis \ndata int...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql expertise \ndata analysis ...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Employment Type:\n \t\t \tFull Time,0,1,0,0,0,0,0
Data Analyst,bentley systems pvt ltd,Pune (Maharashtra),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 7 to ...,7.0,6+ Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nstatistics \nm...","IT-Hardware/Networking, Telecom",Job Function:\nEngg. project Mgmt./site Engg./...,Employment Type:\n \t\t \tFull Time,0,0,0,0,0,0,1
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , risk analysis \nsql \ndata mod...","IT-Hardware/Networking, Telecom",Job Function:\nAccounting/Tax/Company Secretar...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , sql knowledge\ndata flow under...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 1 to ...,1.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data modelling \ndata analysis...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,IQVIA,Bengaluru/ Bangalore (K...,card_travel\n\t\t\t\n\t\t\t \n\t\t\t 2 to ...,2.0,1–2 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nbusiness intel...","Healthcare, Manufacturing/Industrial",Job Function:\nBio Tech/R&D/Scientist,Any Graduate,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsnowflake \npo...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,0,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
Data Analyst,virtusa consulting services pvt. ltd.,Chennai (Tamil Nadu),card_travel\n\t\t\t\n\t\t\t \n\t\t\t 5 to ...,5.0,3–5 Years,₹\n As per Industry Standards,,,", Key Skills, , data analysis \nsql \nbusiness...","IT-Hardware/Networking, Telecom",Job Function:\nIT Software : Software Products...,Any Graduate,0,1,0,0,0,0,0
